Airport,Code,2001 Rank,2001 Total,2010 Rank,2010 Total,2011 Rank, Total,Percent change 2001-2011,Percent change 2010-2011
"Atlanta, GA (Hartsfield-Jackson Atlanta International)",ATL,1,"36,384,264",1,"42,655,392",1,"33,034,788",-9.2,-22.6
"Chicago, IL (Chicago O'Hare International)",ORD,2,"28,626,694",2,"30,033,313",2,"22,367,052",-21.9,-25.5
"Dallas, TX (Dallas/Fort Worth International)",DFW,3,"25,198,256",3,"26,785,739",3,"20,430,281",-18.9,-23.7
"Denver, CO (Denver International)",DEN,6,"16,397,390",4,"24,965,553",4,"19,190,341",17.0,-23.1
"Los Angeles, CA (Los Angeles International)",LAX,4,"22,873,307",5,"22,860,849",5,"18,379,418",-19.6,-19.6
"Phoenix, AZ (Phoenix Sky Harbor International)",PHX,5,"16,540,686",7,"18,657,891",6,"14,680,444",-11.2,-21.3
"Charlotte, NC (Charlotte Douglas International)",CLT,19,"10,226,010",8,"18,539,589",7,"14,207,015",38.9,-23.4
"Las Vegas, NV (McCarran International)",LAS,7,"16,121,009",9,"17,851,932",8,"13,929,834",-13.6,-22.0
"Houston, TX (George Bush Intercontinental)",IAH,9,"15,639,781",6,"18,726,696",9,"13,920,435",-11.0,-25.7
"San Francisco, CA (San Francisco International)",SFO,11,"13,862,994",10,"16,751,758",10,"12,916,195",-6.8,-22.9
"New York, NY (John F. Kennedy International)",JFK,21,"9,647,313",11,"16,389,107",11,"12,737,380",32.0,-22.3
"Minneapolis, MN (Minneapolis-St. Paul International/World-Chamberlain)",MSP,8,"15,648,295",14,"15,474,646",12,"12,117,506",-22.6,-21.7
"Orlando, FL (Orlando International)",MCO,15,"12,619,918",12,"15,727,564",13,"12,040,406",-4.6,-23.4
"Detroit, MI (Detroit Metropolitan Wayne County)",DTW,10,"15,467,124",13,"15,483,222",14,"11,711,660",-24.3,-24.4
"Seattle, WA (Seattle-Tacoma International)",SEA,14,"12,705,320",16,"14,838,615",15,"11,666,453",-8.2,-21.4
"Newark, NJ (Newark Liberty International)",EWR,12,"13,822,541",15,"14,927,554",16,"11,325,271",-18.1,-24.1
"Miami, FL (Miami International)",MIA,16,"11,505,199",18,"14,007,849",17,"11,207,787",-2.6,-20.0
"Philadelphia, PA (Philadelphia International)",PHL,17,"10,387,030",17,"14,703,670",18,"11,037,928",6.3,-24.9
"Boston, MA (General Edward Lawrence Logan International)",BOS,20,"10,016,801",19,"12,282,374",19,"9,672,420",-3.4,-21.2
"New York, NY (LaGuardia)",LGA,18,"10,311,470",20,"11,634,035",20,"8,646,321",-16.1,-25.7
"Baltimore, MD (Baltimore/Washington International Thurgood Marshall)",BWI,22,"9,450,749",21,"10,754,424",21,"8,297,931",-12.2,-22.8
"Fort Lauderdale, FL (Fort Lauderdale-Hollywood International)",FLL,28,"7,372,417",22,"10,036,422",22,"7,991,173",8.4,-20.4
"Salt Lake City, UT (Salt Lake International)",SLC,25,"7,839,933",23,"9,910,042",23,"7,413,792",-5.4,-25.2
"Washington, DC (Dulles International)",IAD,34,"5,753,870",24,"9,822,576",24,"7,150,715",24.3,-27.2
"Chicago, IL (Chicago Midway)",MDW,30,"7,062,993",26,"8,469,677",25,"6,738,892",-4.6,-20.4
