Transportation,10.56,12.40,16.06,18.21,19.66,20.04,22.37,22.06,22.36,22.72,23.31,23.79,24.38,24.70,25.20,25.89,26.49,26.21,26.78,26.92,27.82,28.27,28.75,29.03,27.93,26.99,27.38,27.00
Transportation as percent of total energy consumption,23.4,23.0,23.7,25.3,25.2,26.2,26.5,26.1,26.1,26.0,26.2,26.1,25.9,26.1,26.5,26.8,26.8,27.3,27.4,27.5,27.8,28.2,28.9,28.7,28.1,28.5,28.0,27.8
Industrial,16.98,20.12,22.97,21.43,22.59,19.44,21.18,20.82,21.76,21.75,22.39,22.72,23.41,23.69,23.18,22.95,22.82,21.79,21.80,21.50,22.41,21.41,21.54,21.37,20.48,18.81,20.00,20.21
Industrial as percent of total energy consumption,37.7,37.3,33.9,29.8,28.9,25.5,25.1,24.7,25.4,24.9,25.1,25.0,24.9,25.0,24.4,23.7,23.1,22.7,22.3,21.9,22.4,21.4,21.6,21.1,20.6,19.9,20.5,20.8
Residential and commercial,9.39,10.48,12.55,12.05,11.54,10.88,10.45,10.69,10.94,11.12,10.99,11.04,11.74,11.33,10.42,10.83,11.44,10.95,11.04,11.49,11.23,10.96,9.91,10.52,10.89,10.68,10.64,10.67
Residential and commercial  as percent of total energy consumption ,20.8,19.4,18.5,16.7,14.8,14.2,12.4,12.7,12.8,12.7,12.3,12.1,12.5,12.0,11.0,11.2,11.6,11.4,11.3,11.7,11.2,10.9,10.0,10.4,11.0,11.3,10.9,11.0
Energy input at electric utilities,8.16,11.01,16.26,20.27,24.27,26.03,30.50,30.86,30.72,31.85,32.40,33.48,34.49,34.89,36.23,36.98,38.06,37.22,38.02,38.06,38.71,39.64,39.43,40.38,39.98,38.08,39.63,39.35
Energy input at electric utilities as percent of total energy consumption,18.1,20.4,24.0,28.2,31.1,34.1,36.1,36.5,35.8,36.4,36.4,36.8,36.7,36.9,38.1,38.3,38.5,38.7,38.9,38.8,38.7,39.5,39.6,39.9,40.3,40.3,40.6,40.5
Transportation,95.9,95.7,95.3,96.7,96.7,97.2,96.7,96.9,96.9,97.2,97.0,97.0,97.0,96.9,97.4,97.4,97.5,97.5,97.4,97.7,97.9,97.8,97.8,97.6,97.5,97.2,97.3,97.0
Industrial,33.9,33.7,33.9,37.9,42.1,39.7,39.0,38.2,39.3,38.6,39.2,37.8,38.5,39.1,39.2,40.8,39.8,42.1,42.1,42.8,43.9,45.0,45.4,44.3,41.6,41.6,41.1,40.0
Residential and commercial,37.2,36.9,34.3,31.7,26.4,24.3,22.8,21.7,21.1,20.3,20.3,19.4,19.4,19.1,19.3,20.1,20.6,21.2,19.8,20.4,20.8,20.2,19.0,18.1,17.4,17.4,17.2,17.1
Electric utilities,6.8,6.6,13.0,15.6,10.9,4.2,4.2,3.9,3.2,3.5,3.3,2.3,2.4,2.7,3.6,3.3,3.0,3.4,2.5,3.2,3.1,3.1,1.6,1.6,1.2,1.0,1.0,0.7
